PROJECT	proj_capacity_limit_mw
Oahu_CentralPV_422_na	74.18629172
Oahu_CentralPV_423_na	21.25138701
Oahu_CentralPV_424_na	0.12589596
Oahu_CentralPV_425_na	0.03596166
Oahu_CentralPV_426_na	41.47608965
Oahu_CentralPV_427_na	28.51517202
Oahu_CentralPV_428_na	0.04608221
Oahu_CentralPV_429_na	0.16271748
Oahu_CentralPV_430_na	21.62257165
Oahu_CentralPV_431_na	14.97722169
Oahu_CentralPV_432_na	25.6031938
Oahu_CentralPV_433_na	3.211751114
Oahu_CentralPV_434_na	23.73997622
Oahu_CentralPV_435_na	33.98880838
Oahu_CentralPV_436_na	18.56339588
Oahu_CentralPV_437_na	7.29104841
Oahu_CentralPV_438_na	10.66186579
Oahu_CentralPV_439_na	3.723234525
Oahu_CentralPV_440_na	0.16299225
Oahu_CentralPV_441_na	2.102388705
Oahu_CentralPV_442_na	7.678015425
Oahu_CentralPV_443_na	11.61374332
Oahu_CentralPV_444_na	15.12739809
Oahu_CentralPV_445_na	47.66898046
Oahu_CentralPV_446_na	2.931414411
Oahu_CentralPV_447_na	36.8232903
Oahu_CentralPV_448_na	30.1659924
Oahu_CentralPV_449_na	0.421867486
Oahu_CentralPV_450_na	57.93809345
Oahu_CentralPV_451_na	30.36524795
Oahu_CentralPV_452_na	27.92534866
Oahu_CentralPV_453_na	1.021924804
Oahu_CentralPV_454_na	19.88005858
Oahu_CentralPV_455_na	8.995679471
Oahu_CentralPV_456_na	22.17707982
Oahu_CentralPV_457_na	2.41354197
Oahu_CentralPV_458_na	18.89935033
Oahu_CentralPV_459_na	18.52124153
Oahu_CentralPV_460_na	38.82798283
Oahu_CentralPV_461_na	31.53051875
Oahu_CentralPV_462_na	32.11364584
Oahu_CentralPV_463_na	15.55429223
Oahu_CentralPV_464_na	10.9065016
Oahu_CentralPV_465_na	0.288
Oahu_CentralPV_466_na	0.486
Oahu_CentralPV_467_na	8.21698839
Oahu_CentralPV_468_na	19.15349859
Oahu_CentralPV_469_na	48.5550155
Oahu_CentralPV_470_na	9.873713019
Oahu_CentralPV_471_na	4.088778025
Oahu_CentralPV_472_na	61.22661872
Oahu_CentralPV_473_na	12.63289802
Oahu_CentralPV_474_na	10.37947104
Oahu_CentralPV_475_na	0.01691415
Oahu_CentralPV_476_na	1.179304349
Oahu_CentralPV_477_na	18.93966101
Oahu_CentralPV_478_na	6.334354323
Oahu_CentralPV_479_na	64.22218808
Oahu_CentralPV_480_na	61.55753185
Oahu_CentralPV_481_na	12.00012063
Oahu_CentralPV_482_na	5.480166465
Oahu_CentralPV_483_na	8.7916527
Oahu_CentralPV_484_na	0.04738869
Oahu_CentralPV_485_na	17.14154247
Oahu_CentralPV_486_na	0.03691521
Oahu_CentralPV_487_na	0.009
Oahu_CentralPV_488_na	19.47393842
Oahu_CentralPV_489_na	22.72958414
Oahu_CentralPV_490_na	9.737885332
Oahu_CentralPV_491_na	12.00468419
Oahu_CentralPV_492_na	3.586626162
Oahu_CentralPV_493_na	0.072
Oahu_CentralPV_494_na	8.072666283
Oahu_CentralPV_495_na	32.80958518
Oahu_CentralPV_496_na	40.96035274
Oahu_CentralPV_497_na	19.97423815
Oahu_CentralPV_498_na	9.457903622
Oahu_CentralPV_499_na	51.54641196
Oahu_CentralPV_500_na	9.723989098
Oahu_CentralPV_501_na	7.02652896
Oahu_CentralPV_502_na	13.88957625
Oahu_CentralPV_503_na	58.11313779
Oahu_CentralPV_504_na	32.85752504
Oahu_CentralPV_505_na	13.30612181
Oahu_CentralPV_506_na	40.48061589
Oahu_CentralPV_507_na	33.77070343
Oahu_CentralPV_508_na	15.86223656
Oahu_CentralPV_509_na	51.47193366
Oahu_CentralPV_510_na	19.10298002
Oahu_CentralPV_511_na	5.862635235
Oahu_CentralPV_512_na	0.259038405
Oahu_CentralPV_513_na	0.783
